transaction_id,row_id,fraud_probability,fraud_pred
06a94162-7bae-427c-b68c-2819181b5467,0,0.0019291199651951844,0
8d261988-07bd-4696-8fe3-ba3526142d2e,1,0.002089086783231827,0
b6be7a48-12fc-40ac-a12f-e2e03637231b,2,0.00029496966600487767,0
12d06acb-2241-4d57-bfe2-ebb13750d301,3,0.0008711147681509162,0
5ce8b673-fe15-41e1-bacf-91569a3cbe53,4,0.00027065431559750766,0
5b4a1322-f2d3-4759-981e-b391b7fe6834,5,0.002185296861773489,0
e1b9cf0b-741e-449f-8adf-e298d4a53bc1,6,7.798369261229121e-05,0
147f045f-3eda-42f4-85cd-dfec7ba82449,7,7.595909715707595e-05,0
5f18c77c-81b0-4df3-bd94-6277195c69e0,8,0.00012980021314118768,0
4068c12b-d791-4778-af93-209deda255e0,9,0.0021705672405924513,0
240baa49-5842-4b94-97c8-4fc5360745f7,10,9.719366090046852e-05,0
6a719f22-0942-4c11-a2ee-37a27d74ee0d,11,0.0009710426294865963,0
1e1bb2a7-c589-4a2c-8acd-9725c44e7b80,12,9.181839506892085e-05,0
da6cafd1-4a0b-4e4f-9783-fa3e024c8669,13,0.001249448303963327,0
d9806cdc-07cb-47c7-8db5-f62f6bfd1547,14,0.00019290965710965424,0
6daf654a-2869-4b6f-af66-a07df8703803,15,0.00017105314727705904,0
d94112e7-8cd4-4552-b104-15496d7d303a,16,0.002024414461606707,0
11696aa5-9a62-4c1e-8651-7e9a96cb32bc,17,0.0005025797092386662,0
9289b6f2-aecd-458c-b790-f8edf33a4851,18,0.0004695447627688251,0
8e53acc4-07e6-4b51-933e-2919d1851eed,19,7.797957252591072e-05,0
062ea3e0-7704-4eb0-9b85-82e54cb69f66,20,0.00014687044902143395,0
bb622fed-5503-4ec0-a582-aca96326badd,21,0.0010026701910182572,0
99582a20-3660-4bee-97ff-2042195846ba,22,0.000339399795368217,0
caa1a3bf-77d2-427a-99f7-bfa9f89eec7d,23,0.0001455291017269331,0
1535966f-d250-483c-b0bd-292578a0f482,24,0.00010509021722414535,0
